date,y
8/22/2015,1144.347
8/23/2015,1063.363
8/24/2015,1386.899
8/25/2015,1400.484
8/26/2015,1411.119
8/27/2015,1423.337
8/28/2015,1383.029
8/29/2015,1164.636
8/30/2015,1085.568
8/31/2015,1418.065
9/1/2015,1454.193
9/2/2015,1431.186
9/3/2015,1424.913
9/4/2015,1398.09
9/5/2015,1188.41
9/6/2015,1108.465
9/7/2015,1409.703
9/8/2015,1434.184
9/9/2015,1426.93
9/10/2015,1426.198
9/11/2015,1407.695
9/12/2015,1201.761
9/13/2015,1113.172
9/14/2015,1438.257
9/15/2015,1458.246
9/16/2015,1475.5
9/17/2015,1478.113
9/18/2015,1415.759
9/19/2015,1194.287
9/20/2015,1109.639
9/21/2015,1420.448
9/22/2015,1461.989
9/23/2015,1466.2
9/24/2015,1456.21
9/25/2015,1427.929
9/26/2015,1212.761
9/27/2015,1121.202
9/28/2015,1431.729
9/29/2015,1459.78
9/30/2015,1458.914
10/1/2015,1425.006
10/2/2015,1391.05
10/3/2015,1103.113
10/4/2015,1096.609
10/5/2015,1411.536
10/6/2015,1472.839
10/7/2015,1482.683
10/8/2015,1476.684
10/9/2015,1434.129
10/10/2015,1214.974
10/11/2015,1126.644
10/12/2015,1445.207
10/13/2015,1511.174
10/14/2015,1541.517
10/15/2015,1543.672
10/16/2015,1508.635
10/17/2015,1271.678
10/18/2015,1179.09
10/19/2015,1492.327
10/20/2015,1515.969
10/21/2015,1511.232
10/22/2015,1514.531
10/23/2015,1464.955
10/24/2015,1245.404
10/25/2015,1166.55
10/26/2015,1460.365
10/27/2015,1501.482
10/28/2015,1513.639
10/29/2015,1505.791
10/30/2015,1482.989
10/31/2015,1237.624
11/1/2015,1163.587
11/2/2015,1487.294
11/3/2015,1524.191
11/4/2015,1523.905
11/5/2015,1505.157
11/6/2015,1479.034
11/7/2015,1269.524
11/8/2015,1162.261
11/9/2015,1496.931
11/10/2015,1533.091
11/11/2015,1521.932
11/12/2015,1518.605
11/13/2015,1512.112
11/14/2015,1298.132
11/15/2015,1203.657
11/16/2015,1504.112
11/17/2015,1542.282
11/18/2015,1533.125
11/19/2015,1550.195
11/20/2015,1531.888
11/21/2015,1312.858
11/22/2015,1241.689
11/23/2015,1563.445
11/24/2015,1616.77
11/25/2015,1613.408
11/26/2015,1596.015
11/27/2015,1573.074
11/28/2015,1364.086
11/29/2015,1267.062
11/30/2015,1571.189
12/1/2015,1588.021
12/2/2015,1585.308
12/3/2015,1577.457
12/4/2015,1570.318
12/5/2015,1337.095
12/6/2015,1232.073
12/7/2015,1536.251
12/8/2015,1572.74
12/9/2015,1586.393
12/10/2015,1596.593
12/11/2015,1578.22
12/12/2015,1334.376
12/13/2015,1242.101
12/14/2015,1554.947
12/15/2015,1567.9
12/16/2015,1562.404
12/17/2015,1512.095
12/18/2015,1462.443
12/19/2015,1255.073
12/20/2015,1165.159
12/21/2015,1396.454
12/22/2015,1379.031
12/23/2015,1312.974
12/24/2015,1121.944
12/25/2015,1047.277
12/26/2015,1049.349
12/27/2015,1068.214
12/28/2015,1219.075
12/29/2015,1233.66
12/30/2015,1238.863
12/31/2015,1158.103
1/1/2016,1060.366
1/2/2016,1192.698
1/3/2016,1179.282
1/4/2016,1456.294
1/5/2016,1506.737
1/6/2016,1454.685
1/7/2016,1540.304
1/8/2016,1515.84
1/9/2016,1311.996
1/10/2016,1217.985
1/11/2016,1543.692
1/12/2016,1574.058
1/13/2016,1595.181
1/14/2016,1594.6
1/15/2016,1589.38
1/16/2016,1376.513
1/17/2016,1288.699
1/18/2016,1629.911
1/19/2016,1672.32
1/20/2016,1661.646
1/21/2016,1657.049
1/22/2016,1653.635
1/23/2016,1400.292
1/24/2016,1274.629
1/25/2016,1556.816
1/26/2016,1570.884
1/27/2016,1574.427
1/28/2016,1559.91
1/29/2016,1545.318
1/30/2016,1339.319
1/31/2016,1233.714
2/1/2016,1533.857
2/2/2016,1565.493
2/3/2016,1583.04
2/4/2016,1588.979
2/5/2016,1545.368
2/6/2016,1293.588
2/7/2016,1209.617
2/8/2016,1498.211
2/9/2016,1550.349
2/10/2016,1578.526
2/11/2016,1562.214
2/12/2016,1541.945
2/13/2016,1331.757
2/14/2016,1228.404
2/15/2016,1565.899
2/16/2016,1596.259
2/17/2016,1611.729
2/18/2016,1584.18
2/19/2016,1575.679
2/20/2016,1366.934
2/21/2016,1229.811
2/22/2016,1534.638
2/23/2016,1575.798
2/24/2016,1578.573
2/25/2016,1581.22
2/26/2016,1543.553
2/27/2016,1314.531
2/28/2016,1221.887
2/29/2016,1544.11
3/1/2016,1581.822
3/2/2016,1573.211
3/3/2016,1562.373
3/4/2016,1548.866
3/5/2016,1317.666
3/6/2016,1223.36
3/7/2016,1531.428
3/8/2016,1574.837
3/9/2016,1563.842
3/10/2016,1546.814
3/11/2016,1531.62
3/12/2016,1320.899
3/13/2016,1217.183
3/14/2016,1511.613
3/15/2016,1568.054
3/16/2016,1560.626
3/17/2016,1530.473
3/18/2016,1518.48
3/19/2016,1313.651
3/20/2016,1210.452
3/21/2016,1518.724
3/22/2016,1534.757
3/23/2016,1527.499
3/24/2016,1491.316
3/25/2016,1200.708
3/26/2016,1175.789
3/27/2016,1078.086
3/28/2016,1114.596
3/29/2016,1442.356
3/30/2016,1491.498
3/31/2016,1482.205
4/1/2016,1451.858
4/2/2016,1218.446
4/3/2016,1107.613
4/4/2016,1418.247
4/5/2016,1453.871
4/6/2016,1466.728
4/7/2016,1472.789
4/8/2016,1440.043
4/9/2016,1206.636
4/10/2016,1106.457
4/11/2016,1412.149
4/12/2016,1446.925
4/13/2016,1458.691
4/14/2016,1447.353
4/15/2016,1429.323
4/16/2016,1200.125
4/17/2016,1113.521
4/18/2016,1428.782
4/19/2016,1452.976
4/20/2016,1438.061
4/21/2016,1433.142
4/22/2016,1410.083
4/23/2016,1208.184
4/24/2016,1126.023
4/25/2016,1456.44
4/26/2016,1493.585
4/27/2016,1507.164
4/28/2016,1483.175
4/29/2016,1451.057
4/30/2016,1205.869
5/1/2016,1078.602
5/2/2016,1405.185
5/3/2016,1462.935
5/4/2016,1430.136
5/5/2016,1111.379
5/6/2016,1254.051
5/7/2016,1149.938
5/8/2016,1072.653
5/9/2016,1403.845
5/10/2016,1431.813
5/11/2016,1441.717
5/12/2016,1444.324
5/13/2016,1405.332
5/14/2016,1168.618
5/15/2016,1048.215
5/16/2016,1080.327
5/17/2016,1406.559
5/18/2016,1432.772
5/19/2016,1436.909
5/20/2016,1415.619
5/21/2016,1175.567
5/22/2016,1099.152
5/23/2016,1430.635
5/24/2016,1454.007
5/25/2016,1426.676
5/26/2016,1221.096
5/27/2016,1313.71
5/28/2016,1169.531
5/29/2016,1096.905
5/30/2016,1423.574
5/31/2016,1435.085
6/1/2016,1431.441
6/2/2016,1421.839
6/3/2016,1394.273
6/4/2016,1170.051
6/5/2016,1076.44
6/6/2016,1393.733
6/7/2016,1419.232
6/8/2016,1420.198
6/9/2016,1405.974
6/10/2016,1371.476
6/11/2016,1156.451
6/12/2016,1080.805
6/13/2016,1390.936
6/14/2016,1413.197
6/15/2016,1408.312
6/16/2016,1405.908
6/17/2016,1382.577
6/18/2016,1162.117
6/19/2016,1066.99
6/20/2016,1377.795
6/21/2016,1408.899
6/22/2016,1426.195
6/23/2016,1446.406
6/24/2016,1427.889
6/25/2016,1195.55
6/26/2016,1071.035
6/27/2016,1389.253
6/28/2016,1415.082
6/29/2016,1422.497
6/30/2016,1420.479
7/1/2016,1397.573
7/2/2016,1173.694
7/3/2016,1064.118
7/4/2016,1375.612
7/5/2016,1416.841
7/6/2016,1413.597
7/7/2016,1400.162
7/8/2016,1393.535
7/9/2016,1167.211
7/10/2016,1088.476
7/11/2016,1408.131
7/12/2016,1418.663
7/13/2016,1392.884
7/14/2016,1395.855
7/15/2016,1362.975
7/16/2016,1142.248
7/17/2016,1065.412
7/18/2016,1371.539
7/19/2016,1399.163
7/20/2016,1419.223
7/21/2016,1419.319
7/22/2016,1386.894
7/23/2016,1167.148
7/24/2016,1076.257
7/25/2016,1382.122
7/26/2016,1401.714
7/27/2016,1396.615
7/28/2016,1383.221
7/29/2016,1351.661
7/30/2016,1142.74
7/31/2016,1054.524
8/1/2016,1321.94
8/2/2016,1356.852
8/3/2016,1382.448
8/4/2016,1376.755
8/5/2016,1333.847
8/6/2016,1126.238
8/7/2016,1038.178
8/8/2016,1339.952
8/9/2016,1348.403
8/10/2016,1342.669
8/11/2016,1336.473
8/12/2016,1332.298
8/13/2016,1134.686
8/14/2016,1036.969
8/15/2016,1286.423
8/16/2016,1346.943
8/17/2016,1342.218
8/18/2016,1354.995
8/19/2016,1341.012
8/20/2016,1143.534
8/21/2016,1042.629
8/22/2016,1357.518
8/23/2016,1389.365
8/24/2016,1405.574
8/25/2016,1414.684
8/26/2016,1399.299
8/27/2016,1183.501
8/28/2016,1095.56
8/29/2016,1401.324
8/30/2016,1387.894
8/31/2016,1401.426
9/1/2016,1407.52
9/2/2016,1382.375
9/3/2016,1156.702
9/4/2016,1091.754
9/5/2016,1384.297
9/6/2016,1398.754
9/7/2016,1405.116
9/8/2016,1420.959
9/9/2016,1392.97
9/10/2016,1173.301
9/11/2016,1088.362
