Year,Month,Day,Hour,Week,Consumption
2022,1,8,6,1,11223.712
2022,1,8,7,1,11461.962
2022,1,8,8,1,11619.233
2022,1,8,9,1,11903.278
2022,1,8,10,1,12094.745
2022,1,8,11,1,12220.561
2022,1,8,12,1,12321.176
2022,1,8,13,1,12285.205
2022,1,8,14,1,12295.375
2022,1,8,15,1,12263.473
2022,1,8,16,1,12449.859
2022,1,8,17,1,12818.449
2022,1,8,18,1,12952.591
2022,1,8,19,1,13002.399
2022,1,8,20,1,12865.875
2022,1,8,21,1,12496.325
2022,1,8,22,1,11937.374
2022,1,8,23,1,12060.89
2022,1,8,24,1,11867.044
2022,1,9,1,1,11448.972
2022,1,9,2,1,11107.046
2022,1,9,3,1,10923.063
2022,1,9,4,1,10845.887
2022,1,9,5,1,10818.88
2022,1,9,6,1,10860.85
2022,1,9,7,1,11014.382
2022,1,9,8,1,11071.237
2022,1,9,9,1,11354.759
2022,1,9,10,1,11461.391
2022,1,9,11,1,11653.845
2022,1,9,12,1,11825.896
2022,1,9,13,1,11866.793
2022,1,9,14,1,11815.868
2022,1,9,15,1,11777.822
2022,1,9,16,1,11911.492
2022,1,9,17,1,12208.648
2022,1,9,18,1,12310.473
2022,1,9,19,1,12327.748
2022,1,9,20,1,12322.347
2022,1,9,21,1,12162.613
2022,1,9,22,1,11774.208
2022,1,9,23,1,11944.441
2022,1,9,24,1,11840.647
2022,1,10,1,2,11570.44
2022,1,10,2,2,11315.919
2022,1,10,3,2,11193.82
2022,1,10,4,2,11155.284
2022,1,10,5,2,11323.614
2022,1,10,6,2,11765.848
2022,1,10,7,2,12551.54
2022,1,10,8,2,13083.292
2022,1,10,9,2,13417.753
2022,1,10,10,2,13336.004
2022,1,10,11,2,13427.359
2022,1,10,12,2,13452.233
2022,1,10,13,2,13405.033
2022,1,10,14,2,13263.38
2022,1,10,15,2,13225.647
2022,1,10,16,2,13296.29
2022,1,10,17,2,13512.473
2022,1,10,18,2,13603.293
